dlBytes,dlMcs,dlBler,ulBytes,ulMcs,ulBler,ri,phr,pcmax,rsrq,sinr,rsrp,rssi,cqi,pucchSnr,puschSnr,ueId,predicted_anomaly,anomaly_score,authentication_status
45894.0,6.0,3.4e-05,234035.0,6.0,0.001198,2.0,28.0,24.0,-16.5,-4.0,-125.0,82.7,5.0,15.0,18.5,18.0,-1,-0.0444355762290245,rejected
46512.0,6.0,2.7e-05,236979.0,6.0,0.000418,1.0,28.0,24.0,-19.0,-6.5,-127.0,81.8,8.0,14.0,11.0,18.0,-1,-0.05864060547604866,rejected
46818.0,6.0,2.4e-05,240083.0,6.0,0.000146,1.0,28.0,24.0,-18.5,-6.5,-127.0,81.7,9.0,13.0,17.0,18.0,-1,-0.05331489032783565,rejected
47436.0,6.0,2.2e-05,245825.0,8.0,0.054199,2.0,18.0,25.0,-15.5,-3.0,-123.0,92.9,5.0,14.0,29.5,18.0,-1,-0.06021599842681569,rejected
47730.0,6.0,2e-05,254366.0,6.0,0.203963,2.0,20.0,25.0,-16.0,-3.0,-124.0,89.0,4.0,22.0,10.5,18.0,-1,-0.04422890529353607,rejected
48036.0,6.0,1.8e-05,260792.0,6.0,0.167632,1.0,18.0,25.0,-17.5,-5.0,-126.0,90.7,8.0,13.0,15.5,18.0,-1,-0.07007774106628872,rejected
48342.0,6.0,0.050016,266342.0,6.0,0.082947,1.0,16.0,25.0,-16.0,-3.5,-123.0,95.5,9.0,11.0,11.5,18.0,-1,-0.05812809836729527,rejected
48648.0,6.0,0.145014,271658.0,6.0,0.057524,2.0,21.0,25.0,-16.0,-2.5,-124.0,86.0,6.0,22.0,8.0,18.0,-1,-0.04132178032111844,rejected
49234.0,6.0,0.130513,277076.0,7.0,0.061852,1.0,15.0,24.0,-14.5,-1.0,-122.0,90.7,9.0,21.0,17.5,18.0,-1,-0.03825219506819044,rejected
49540.0,6.0,0.117462,284987.0,7.0,0.129599,1.0,18.0,25.0,-17.0,-5.0,-125.0,95.0,9.0,7.0,31.0,,-1,-0.0725921212517644,rejected
49999.0,6.0,0.140144,291957.0,6.0,0.177024,1.0,22.0,24.0,-17.5,-6.0,-126.0,92.0,9.0,7.0,5.0,,-1,-0.06640145751029913,rejected
50305.0,6.0,0.22613,299176.0,6.0,0.154121,1.0,16.0,25.0,-17.5,-6.0,-126.0,96.7,8.0,7.0,14.5,,-1,-0.07661172319948995,rejected
50599.0,6.0,0.273165,303645.0,6.0,0.109823,1.0,15.0,25.0,-16.5,-4.0,-124.0,98.3,9.0,21.0,8.5,,-1,-0.05761517459936172,rejected
815.0,9.0,0.1,336.0,9.0,0.1,2.0,16.0,25.0,-11.0,12.5,-111.0,100.4,12.0,39.0,36.5,,-1,-0.02558294095666791,rejected
500.0,9.0,0.1,228.0,9.0,0.1,2.0,12.0,24.0,-11.0,12.5,-122.0,101.3,8.0,35.0,63.5,3.0,-1,-0.05654308591343171,rejected
15587.0,6.0,0.206549,13018.0,6.0,0.279053,2.0,18.0,25.0,-14.0,-0.5,-122.0,97.1,5.0,27.0,32.5,3.0,-1,-0.04734524493741432,rejected
928.0,9.0,0.1,249.0,0.0,0.187923,2.0,18.0,24.0,-16.0,-2.5,-124.0,90.7,5.0,35.0,32.0,3.0,-1,-0.09129832362376145,rejected
2350.0,5.0,0.17577,853.0,0.0,0.507088,1.0,46.0,25.0,-14.0,0.0,-121.0,96.4,7.0,27.0,61.0,3.0,-1,-0.04312397812743585,rejected
2616.0,5.0,0.142374,861.0,0.0,0.860787,1.0,46.0,25.0,-14.0,0.0,-121.0,96.7,7.0,24.0,61.0,,-1,-0.0419622873302975,rejected
2749.0,5.0,0.228136,861.0,0.0,0.926017,1.0,46.0,25.0,-14.0,0.0,-121.0,96.0,7.0,23.0,61.0,,-1,-0.04535699201749399,rejected
2882.0,5.0,0.305323,861.0,0.0,0.956314,1.0,46.0,25.0,-14.0,0.0,-121.0,97.4,7.0,18.0,61.5,4.0,-1,-0.04529512806208236,rejected
3015.0,5.0,0.27479,861.0,0.0,0.976783,1.0,46.0,25.0,-14.0,0.0,-121.0,96.0,7.0,22.0,60.5,4.0,-1,-0.04660941580362221,rejected
3553.0,5.0,0.22258,861.0,0.0,0.992714,1.0,46.0,25.0,-14.0,0.0,-121.0,96.4,7.0,21.0,60.5,4.0,-1,-0.04494008201888877,rejected
3822.0,5.0,0.200322,861.0,0.0,0.996128,2.0,46.0,25.0,-14.0,0.0,-121.0,95.5,4.0,20.0,60.5,4.0,-1,-0.035580822641560705,rejected
4091.0,5.0,0.18029,861.0,0.0,0.997942,2.0,46.0,25.0,-14.0,0.0,-121.0,96.4,4.0,20.0,61.5,4.0,-1,-0.035580822641560705,rejected
4360.0,5.0,0.162261,861.0,0.0,0.998906,2.0,46.0,25.0,-14.0,0.0,-121.0,96.0,4.0,18.0,61.0,4.0,-1,-0.033880577438623494,rejected
559.0,9.0,0.1,193.0,9.0,0.1,1.0,24.0,25.0,-11.5,7.5,-112.0,92.0,15.0,34.0,29.0,6.0,-1,-0.03727477617146435,rejected
2618.0,5.0,0.1953,2508.0,6.0,0.265254,2.0,28.0,25.0,-16.0,-2.5,-125.0,83.3,4.0,27.0,19.0,6.0,-1,-0.02716871810743471,rejected
623.0,9.0,0.1,101.0,9.0,0.1,1.0,6.0,25.0,-14.5,-1.5,-123.0,100.3,15.0,41.0,36.5,6.0,-1,-0.10127185571138142,rejected
1920.0,6.0,0.2704,680.0,0.0,0.048952,2.0,26.0,25.0,-15.0,-2.0,-123.0,78.9,4.0,33.0,19.5,6.0,-1,-0.0472278226725501,rejected
2458.0,5.0,0.219024,1028.0,0.0,0.165228,2.0,31.0,25.0,-15.0,-2.0,-123.0,94.4,4.0,29.0,59.5,6.0,-1,-0.05935659620714262,rejected
101.0,9.0,0.1,0.0,0.0,0.0,1.0,0.0,0.0,-11.5,8.0,-113.0,104.1,15.0,24.0,43.0,6.0,-1,-0.03246736898489211,rejected
5148.0,5.0,0.237427,2242.0,0.0,0.765616,2.0,52.0,25.0,-15.0,-2.0,-123.0,95.5,5.0,23.0,60.0,,-1,-0.05314090991977638,rejected
5417.0,5.0,0.213684,2242.0,0.0,0.875439,2.0,52.0,25.0,-15.0,-2.0,-123.0,96.0,5.0,22.0,60.0,0.0,-1,-0.053706244993855345,rejected
5550.0,5.0,0.192316,2242.0,0.0,0.933803,2.0,52.0,25.0,-15.0,-2.0,-123.0,96.0,4.0,21.0,60.0,0.0,-1,-0.060018399221800633,rejected
5819.0,5.0,0.273084,2242.0,0.0,0.960911,2.0,52.0,25.0,-15.0,-2.0,-123.0,96.0,4.0,19.0,60.5,0.0,-1,-0.05946518030853665,rejected
6088.0,5.0,0.245776,2242.0,0.0,0.979227,2.0,52.0,25.0,-15.0,-2.0,-123.0,90.7,4.0,18.0,29.5,0.0,-1,-0.046957370650530295,rejected
6357.0,5.0,0.221198,2242.0,0.0,0.98896,2.0,52.0,25.0,-15.0,-2.0,-123.0,96.4,4.0,18.0,61.5,,-1,-0.05599868982994127,rejected
6626.0,5.0,0.199078,2242.0,0.0,0.993481,2.0,52.0,25.0,-15.0,-2.0,-123.0,96.0,4.0,19.0,61.0,,-1,-0.057761101423793426,rejected
6895.0,5.0,0.17917,2242.0,0.0,0.996536,2.0,52.0,25.0,-15.0,-2.0,-123.0,95.0,4.0,16.0,60.5,0.0,-1,-0.05783442617052281,rejected
7164.0,5.0,0.161253,2242.0,0.0,0.998159,2.0,52.0,25.0,-15.0,-2.0,-123.0,94.4,4.0,17.0,60.5,0.0,-1,-0.05599868982994127,rejected
7433.0,5.0,0.145128,2242.0,0.0,0.998792,1.0,52.0,25.0,-15.0,-2.0,-123.0,96.0,7.0,16.0,61.0,0.0,-1,-0.06705464314291598,rejected
8098.0,5.0,0.130615,2903.0,0.0,0.482608,2.0,22.0,24.0,-14.0,0.0,-121.0,86.0,5.0,31.0,26.5,0.0,-1,-0.03457849072573005,rejected
8636.0,5.0,0.195798,3024.0,0.0,0.656375,2.0,30.0,25.0,-14.0,0.0,-121.0,95.5,5.0,29.0,61.5,0.0,-1,-0.03777286146824743,rejected
8905.0,5.0,0.176219,3024.0,0.0,0.880185,2.0,30.0,25.0,-14.0,0.0,-121.0,95.0,5.0,24.0,60.5,0.0,-1,-0.03512056298853594,rejected
9174.0,5.0,0.158597,3024.0,0.0,0.953581,2.0,30.0,25.0,-14.0,0.0,-121.0,93.7,5.0,24.0,60.0,,-1,-0.03847737982712385,rejected
9981.0,5.0,0.142737,3130.0,0.0,0.939785,2.0,13.0,25.0,-14.0,0.0,-121.0,94.4,5.0,35.0,60.0,9.0,-1,-0.073404460668691,rejected
10234.0,5.0,0.128463,3130.0,0.0,0.971199,2.0,13.0,25.0,-14.0,0.0,-121.0,72.0,5.0,34.0,7.5,9.0,-1,-0.030966192675941695,rejected
10487.0,5.0,0.115617,3130.0,0.0,0.986225,2.0,13.0,25.0,-14.0,0.0,-121.0,92.9,5.0,13.0,60.0,9.0,-1,-0.050835794325271744,rejected
10519.0,1.0,0.104055,3130.0,0.0,0.992679,1.0,13.0,25.0,-14.0,0.0,-121.0,68.0,8.0,8.0,8.0,9.0,-1,-0.03149475049433148,rejected
10551.0,1.0,0.09365,3130.0,0.0,0.996109,2.0,13.0,25.0,-14.0,0.0,-121.0,74.0,6.0,32.0,8.5,9.0,-1,-0.03717255898004379,rejected
10614.0,1.0,0.084285,3130.0,0.0,0.998139,1.0,13.0,25.0,-14.0,0.0,-121.0,69.7,3.0,7.0,7.0,9.0,-1,-0.04633088370147587,rejected
10646.0,1.0,0.075856,3130.0,0.0,0.999011,2.0,13.0,25.0,-14.0,0.0,-121.0,75.6,4.0,9.0,10.0,9.0,-1,-0.025318689208779444,rejected
10841.0,1.0,0.055299,3130.0,0.0,0.999912,2.0,13.0,25.0,-14.0,0.0,-121.0,68.0,6.0,35.0,6.0,9.0,-1,-0.05147480766040968,rejected
